Year,Month,YearMonth,Date,Port1,Port2,Route,$Value,$Real,,,,,,,,
2010,2,201002,01-Feb-10,Adelaide,Gold Coast,Adelaide - Gold Coast,135.6,200.4088235,,,,,,,,
2010,2,201002,01-Feb-10,Adelaide,Melbourne,Adelaide - Melbourne,81.6,120.6,,,,,,,,
2010,2,201002,01-Feb-10,Adelaide,Perth,Adelaide - Perth,368,543.8823529,,,,,,,,
2010,2,201002,01-Feb-10,Adelaide,Port Lincoln,Adelaide - Port Lincoln,177.66,262.5710294,,,,,,,,
2010,2,201002,01-Feb-10,Adelaide,Sydney,Adelaide - Sydney,117.6,173.8058824,,,,,,,,
2010,2,201002,01-Feb-10,Albury,Sydney,Albury - Sydney,138,203.9558824,,,,,,,,
2010,2,201002,01-Feb-10,Alice Springs,Darwin,Alice Springs - Darwin,508,750.7941176,,,,,,,,
2010,2,201002,01-Feb-10,Alice Springs,Melbourne,Alice Springs - Melbourne,176,260.1176471,,,,,,,,
2010,2,201002,01-Feb-10,Alice Springs,Sydney,Alice Springs - Sydney,538,795.1323529,,,,,,,,
2010,2,201002,01-Feb-10,Avalon,Brisbane,Avalon - Brisbane,178,263.0735294,,,,,,,,
2010,2,201002,01-Feb-10,Avalon,Sydney,Avalon - Sydney,98,144.8382353,,,,,,,,
2010,2,201002,01-Feb-10,Ayers Rock,Cairns,Ayers Rock - Cairns,838,1238.514706,,,,,,,,
2010,2,201002,01-Feb-10,Ayers Rock,Sydney,Ayers Rock - Sydney,818,1208.955882,,,,,,,,
2010,2,201002,01-Feb-10,Ballina,Sydney,Ballina - Sydney,178,263.0735294,,,,,,,,
2010,2,201002,01-Feb-10,Brisbane,Cairns,Brisbane - Cairns,208,307.4117647,,,,,,,,
2010,2,201002,01-Feb-10,Brisbane,Canberra,Brisbane - Canberra,178,263.0735294,,,,,,,,
2010,2,201002,01-Feb-10,Brisbane,Darwin,Brisbane - Darwin,248,366.5294118,,,,,,,,
2010,2,201002,01-Feb-10,Brisbane,Emerald,Brisbane - Emerald,369,545.3602941,,,,,,,,
2010,2,201002,01-Feb-10,Brisbane,Gladstone,Brisbane - Gladstone,254,375.3970588,,,,,,,,
2010,2,201002,01-Feb-10,Brisbane,Hamilton Island,Brisbane - Hamilton Island,158,233.5147059,,,,,,,,
2010,2,201002,01-Feb-10,Brisbane,Hobart,Brisbane - Hobart,508,750.7941176,,,,,,,,
2010,2,201002,01-Feb-10,Brisbane,Mackay,Brisbane - Mackay,178,263.0735294,,,,,,,,
2010,2,201002,01-Feb-10,Brisbane,Melbourne,Brisbane - Melbourne,238,351.75,,,,,,,,
2010,2,201002,01-Feb-10,Brisbane,Mount Isa,Brisbane - Mount Isa,544,804,,,,,,,,
2010,2,201002,01-Feb-10,Brisbane,Perth,Brisbane - Perth,438,647.3382353,,,,,,,,
2010,2,201002,01-Feb-10,Brisbane,Proserpine,Brisbane - Proserpine,158,233.5147059,,,,,,,,
2010,2,201002,01-Feb-10,Brisbane,Rockhampton,Brisbane - Rockhampton,87,128.5808824,,,,,,,,
2010,2,201002,01-Feb-10,Brisbane,Sydney,Brisbane - Sydney,148,218.7352941,,,,,,,,
2010,2,201002,01-Feb-10,Brisbane,Townsville,Brisbane - Townsville,188,277.8529412,,,,,,,,
2010,2,201002,01-Feb-10,Brisbane,Newcastle,Brisbane - Newcastle,88,130.0588235,,,,,,,,
2010,2,201002,01-Feb-10,Broome,Perth,Broome - Perth,278,410.8676471,,,,,,,,
2010,2,201002,01-Feb-10,Bundaberg,Brisbane,Bundaberg - Brisbane,274,404.9558824,,,,,,,,
2010,2,201002,01-Feb-10,Cairns,Melbourne,Cairns - Melbourne,378,558.6617647,,,,,,,,
2010,2,201002,01-Feb-10,Cairns,Sydney,Cairns - Sydney,358,529.1029412,,,,,,,,
2010,2,201002,01-Feb-10,Cairns,Townsville,Cairns - Townsville,118,174.3970588,,,,,,,,
2010,2,201002,01-Feb-10,Canberra,Melbourne,Canberra - Melbourne,76,112.3235294,,,,,,,,
2010,2,201002,01-Feb-10,Canberra,Sydney,Canberra - Sydney,128,189.1764706,,,,,,,,
2010,2,201002,01-Feb-10,Coffs Harbour,Sydney,Coffs Harbour - Sydney,219,323.6691176,,,,,,,,
2010,2,201002,01-Feb-10,Darwin,Melbourne,Darwin - Melbourne,318,469.9852941,,,,,,,,
2010,2,201002,01-Feb-10,Darwin,Perth,Darwin - Perth,398,588.2205882,,,,,,,,
2010,2,201002,01-Feb-10,Darwin,Sydney,Darwin - Sydney,438,647.3382353,,,,,,,,
2010,2,201002,01-Feb-10,Devonport,Melbourne,Devonport - Melbourne,270,399.0441176,,,,,,,,
2010,2,201002,01-Feb-10,Dubbo,Sydney,Dubbo - Sydney,248,366.5294118,,,,,,,,
2010,2,201002,01-Feb-10,Geraldton,Perth,Geraldton - Perth,363,536.4926471,,,,,,,,
2010,2,201002,01-Feb-10,Gold Coast,Sydney,Gold Coast - Sydney,76,112.3235294,,,,,,,,
2010,2,201002,01-Feb-10,Hamilton Island,Sydney,Hamilton Island - Sydney,268,396.0882353,,,,,,,,
2010,2,201002,01-Feb-10,Hervey Bay,Sydney,Hervey Bay - Sydney,380,561.6176471,,,,,,,,
2010,2,201002,01-Feb-10,Hobart,Melbourne,Hobart - Melbourne,66,97.54411765,,,,,,,,
2010,2,201002,01-Feb-10,Hobart,Sydney,Hobart - Sydney,208,307.4117647,,,,,,,,
2010,2,201002,01-Feb-10,Kalgoorlie,Perth,Kalgoorlie - Perth,355,524.6691176,,,,,,,,
2010,2,201002,01-Feb-10,Karratha,Perth,Karratha - Perth,368,543.8823529,,,,,,,,
2010,2,201002,01-Feb-10,Launceston,Melbourne,Launceston - Melbourne,103,152.2279412,,,,,,,,
2010,2,201002,01-Feb-10,Launceston,Sydney,Launceston - Sydney,209.9,310.2198529,,,,,,,,
2010,2,201002,01-Feb-10,Sunshine Coast,Melbourne,Sunshine Coast - Melbourne,196,289.6764706,,,,,,,,
2010,2,201002,01-Feb-10,Sunshine Coast,Sydney,Sunshine Coast - Sydney,258,381.3088235,,,,,,,,
2010,2,201002,01-Feb-10,Melbourne,Gold Coast,Melbourne - Gold Coast,136,201,,,,,,,,
2010,2,201002,01-Feb-10,Melbourne,Mildura,Melbourne - Mildura,150,221.6911765,,,,,,,,
2010,2,201002,01-Feb-10,Melbourne,Perth,Melbourne - Perth,358,529.1029412,,,,,,,,
2010,2,201002,01-Feb-10,Melbourne,Sydney,Melbourne - Sydney,66,97.54411765,,,,,,,,
2010,2,201002,01-Feb-10,Melbourne,Newcastle,Melbourne - Newcastle,150,221.6911765,,,,,,,,
2010,2,201002,01-Feb-10,Paraburdoo,Perth,Paraburdoo - Perth,429,634.0367647,,,,,,,,
2010,2,201002,01-Feb-10,Perth,Newman,Perth - Newman,358,529.1029412,,,,,,,,
2010,2,201002,01-Feb-10,Perth,Port Hedland,Perth - Port Hedland,328,484.7647059,,,,,,,,
2010,2,201002,01-Feb-10,Perth,Sydney,Perth - Sydney,434,641.4264706,,,,,,,,
2010,2,201002,01-Feb-10,Port Macquarie,Sydney,Port Macquarie - Sydney,158,233.5147059,,,,,,,,
2010,2,201002,01-Feb-10,Sydney,Tamworth,Sydney - Tamworth,225,332.5367647,,,,,,,,
2010,2,201002,01-Feb-10,Sydney,Townsville,Sydney - Townsville,248,366.5294118,,,,,,,,
2010,2,201002,01-Feb-10,Sydney,Wagga Wagga,Sydney - Wagga Wagga,214,316.2794118,,,,,,,,
2010,2,201002,01-Feb-10,Newcastle,Gold Coast,Newcastle - Gold Coast,110,162.5735294,,,,,,,,
2010,3,201003,01-Mar-10,Adelaide,Brisbane,Adelaide - Brisbane,238,351.75,,,,,,,,
2010,3,201003,01-Mar-10,Adelaide,Canberra,Adelaide - Canberra,274,404.9558824,,,,,,,,
2010,3,201003,01-Mar-10,Adelaide,Darwin,Adelaide - Darwin,378,558.6617647,,,,,,,,
2010,3,201003,01-Mar-10,Adelaide,Gold Coast,Adelaide - Gold Coast,156,230.5588235,,,,,,,,
2010,3,201003,01-Mar-10,Adelaide,Melbourne,Adelaide - Melbourne,86,127.1029412,,,,,,,,
2010,3,201003,01-Mar-10,Adelaide,Perth,Adelaide - Perth,358,529.1029412,,,,,,,,
2010,3,201003,01-Mar-10,Adelaide,Port Lincoln,Adelaide - Port Lincoln,212.86,314.5945588,,,,,,,,
2010,3,201003,01-Mar-10,Adelaide,Sydney,Adelaide - Sydney,106,156.6617647,,,,,,,,
2010,3,201003,01-Mar-10,Albury,Sydney,Albury - Sydney,174,257.1617647,,,,,,,,
2010,3,201003,01-Mar-10,Alice Springs,Darwin,Alice Springs - Darwin,428,632.5588235,,,,,,,,
2010,3,201003,01-Mar-10,Alice Springs,Melbourne,Alice Springs - Melbourne,226,334.0147059,,,,,,,,
2010,3,201003,01-Mar-10,Alice Springs,Sydney,Alice Springs - Sydney,498,736.0147059,,,,,,,,
2010,3,201003,01-Mar-10,Avalon,Brisbane,Avalon - Brisbane,278,410.8676471,,,,,,,,
2010,3,201003,01-Mar-10,Avalon,Sydney,Avalon - Sydney,98,144.8382353,,,,,,,,
2010,3,201003,01-Mar-10,Ayers Rock,Cairns,Ayers Rock - Cairns,698,1031.602941,,,,,,,,
2010,3,201003,01-Mar-10,Ayers Rock,Sydney,Ayers Rock - Sydney,714,1055.25,,,,,,,,
2010,3,201003,01-Mar-10,Ballina,Sydney,Ballina - Sydney,188,277.8529412,,,,,,,,
2010,3,201003,01-Mar-10,Brisbane,Cairns,Brisbane - Cairns,258,381.3088235,,,,,,,,
2010,3,201003,01-Mar-10,Brisbane,Canberra,Brisbane - Canberra,193,285.2426471,,,,,,,,
2010,3,201003,01-Mar-10,Brisbane,Darwin,Brisbane - Darwin,274,404.9558824,,,,,,,,
2010,3,201003,01-Mar-10,Brisbane,Emerald,Brisbane - Emerald,316,467.0294118,,,,,,,,
2010,3,201003,01-Mar-10,Brisbane,Gladstone,Brisbane - Gladstone,218,322.1911765,,,,,,,,
2010,3,201003,01-Mar-10,Brisbane,Hamilton Island,Brisbane - Hamilton Island,138,203.9558824,,,,,,,,
2010,3,201003,01-Mar-10,Brisbane,Hobart,Brisbane - Hobart,608,898.5882353,,,,,,,,
2010,3,201003,01-Mar-10,Brisbane,Mackay,Brisbane - Mackay,144,212.8235294,,,,,,,,
2010,3,201003,01-Mar-10,Brisbane,Melbourne,Brisbane - Melbourne,228,336.9705882,,,,,,,,
2010,3,201003,01-Mar-10,Brisbane,Mount Isa,Brisbane - Mount Isa,544,804,,,,,,,,
2010,3,201003,01-Mar-10,Brisbane,Perth,Brisbane - Perth,558,824.6911765,,,,,,,,
2010,3,201003,01-Mar-10,Brisbane,Proserpine,Brisbane - Proserpine,198,292.6323529,,,,,,,,
2010,3,201003,01-Mar-10,Brisbane,Rockhampton,Brisbane - Rockhampton,108,159.6176471,,,,,,,,
2010,3,201003,01-Mar-10,Brisbane,Sydney,Brisbane - Sydney,148,218.7352941,,,,,,,,
2010,3,201003,01-Mar-10,Brisbane,Townsville,Brisbane - Townsville,298,440.4264706,,,,,,,,
2010,3,201003,01-Mar-10,Brisbane,Newcastle,Brisbane - Newcastle,78,115.2794118,,,,,,,,
2010,3,201003,01-Mar-10,Broome,Perth,Broome - Perth,304,449.2941176,,,,,,,,
2010,3,201003,01-Mar-10,Bundaberg,Brisbane,Bundaberg - Brisbane,320,472.9411765,,,,,,,,
2010,3,201003,01-Mar-10,Cairns,Melbourne,Cairns - Melbourne,358,529.1029412,,,,,,,,
2010,3,201003,01-Mar-10,Cairns,Sydney,Cairns - Sydney,338,499.5441176,,,,,,,,
2010,3,201003,01-Mar-10,Cairns,Townsville,Cairns - Townsville,158,233.5147059,,,,,,,,
2010,3,201003,01-Mar-10,Canberra,Melbourne,Canberra - Melbourne,106,156.6617647,,,,,,,,
2010,3,201003,01-Mar-10,Canberra,Sydney,Canberra - Sydney,138,203.9558824,,,,,,,,
2010,3,201003,01-Mar-10,Coffs Harbour,Sydney,Coffs Harbour - Sydney,178,263.0735294,,,,,,,,
2010,3,201003,01-Mar-10,Darwin,Melbourne,Darwin - Melbourne,398,588.2205882,,,,,,,,
2010,3,201003,01-Mar-10,Darwin,Perth,Darwin - Perth,448,662.1176471,,,,,,,,
2010,3,201003,01-Mar-10,Darwin,Sydney,Darwin - Sydney,388,573.4411765,,,,,,,,
2010,3,201003,01-Mar-10,Devonport,Melbourne,Devonport - Melbourne,270,399.0441176,,,,,,,,
2010,3,201003,01-Mar-10,Dubbo,Sydney,Dubbo - Sydney,248,366.5294118,,,,,,,,
